,Jurisdiction,Abbreviated District Name,Full District Name,Type of Zoning District,1-Family Treatment,1-Family Max. Height,1-Family Floor to Area Ratio,4+-Family Treatment,1-Family Min. Lot,1-Family Min. # Parking Spaces,Accessory Dwelling Unit (ADU) Treatment,zone_area,zone_pct,single_family,num_suffix
20,Hawaii County,APD,Agricultural Project Districts,Mixed with Residential,Allowed/Conditional,,,Prohibited,1,2,Allowed/Conditional,854403.4700143272,0.0,False,
19,Hawaii County,A-900a,Agricultural District - minimum 900 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,4070953.289800058,0.0,False,900.0
18,Hawaii County,A-8a,Agricultural District - minimum 8 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,75985.38672930353,0.0,False,8.0
17,Hawaii County,A-80a,Agricultural District - minimum 80 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,3934294.123528912,0.0,False,80.0
15,Hawaii County,A-7a,Agricultural District - minimum 7 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,167705.3259095226,0.0,False,7.0
14,Hawaii County,A-6a,Agricultural District - minimum 6 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,162611.74617676917,0.0,False,6.0
13,Hawaii County,A-600a,Agricultural District - minimum 600 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,4997334.760850107,0.0,False,600.0
11,Hawaii County,A-500a,Agricultural District - minimum 500 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,2252193.2542338306,0.0,False,500.0
9,Hawaii County,A-400a,Agricultural District - minimum 400 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,1692502.2363792546,0.0,False,400.0
7,Hawaii County,A-35a,Agricultural District - minimum 35 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,307673.77099573944,0.0,False,35.0
6,Hawaii County,A-2a,Agricultural District - minimum 2 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,1307197.5289190295,0.0,False,2.0
5,Hawaii County,A-255a,Agricultural District - minimum 255 acres,Nonresidential,Prohibited,,,Prohibited,,,Allowed/Conditional,932194.0948087346,0.0,False,255.0
28,Hawaii County,CN-7.5,"Neighborhood Commercial - 7,500 square feet",Mixed with Residential,Allowed/Conditional,40,,Allowed/Conditional,0.17,2,Prohibited,196400.54623536777,0.0,False,7.5
29,Hawaii County,CV-10,"Village Commercial - 10,000 square feet",Mixed with Residential,Allowed/Conditional,30,,Allowed/Conditional,0.23,2,Prohibited,3124683.813192956,0.0,False,10.0
